Nome,Email,Telefone
Maria Silva,maria.silva@email.com,11987654321
João Santos,joao.santos@email.com,11976543210
Ana Costa,ana.costa@email.com,11965432109
Pedro Oliveira,pedro.oliveira@email.com,11954321098
Carla Souza,carla.souza@email.com,11943210987
Lucas Ferreira,lucas.ferreira@email.com,11932109876
Juliana Lima,juliana.lima@email.com,11921098765
Roberto Alves,roberto.alves@email.com,11910987654
Fernanda Rocha,fernanda.rocha@email.com,11909876543
Marcos Pereira,marcos.pereira@email.com,11998765432
